"id_transacao","compl_transacao","tipo_registro","data_geracao_arquivo","grupo_indicador","cod_indicador","valor_indicador","num_casas_decimais","reserva"
245,1,1,2014-12-12,"indicadores-gerais","IBX-PM",8254,2,""
246,1,1,2014-12-11,"indicadores-gerais","IDI-03",427600.79,2,""
247,1,1,2014-12-12,"indicadores-gerais","IDI-03",427786.9,2,""
248,1,1,2014-12-11,"indicadores-gerais","IDI-09",173625.37,2,""
249,1,1,2014-12-12,"indicadores-gerais","IDI-09",173700.94,2,""
250,1,1,2014-12-11,"indicadores-gerais","IND-PA",49548.58,2,""
251,1,1,2014-12-12,"indicadores-gerais","IND-PA",49861.33,2,""
252,1,1,2014-12-11,"indicadores-gerais","IND-PF",49861,2,""
253,1,1,2014-12-12,"indicadores-gerais","IND-PF",48001,2,""
254,1,1,2014-12-11,"indicadores-gerais","IND-PL",49417,2,""
255,1,1,2014-12-12,"indicadores-gerais","IND-PL",48357,2,""
256,1,1,2014-12-11,"indicadores-gerais","IND-PM",49389,2,""
257,1,1,2014-12-12,"indicadores-gerais","IND-PM",48781,2,""
258,1,1,2014-12-11,"indicadores-gerais","IRF-DE",7134.191586,7,""
259,1,1,2014-12-11,"indicadores-gerais","ISE-05",300545.26,2,""
260,1,1,2014-12-12,"indicadores-gerais","ISE-05",300676.72,2,""
261,1,1,2014-12-11,"indicadores-gerais","ITC-12",129421.9,2,""
262,1,1,2014-12-12,"indicadores-gerais","ITC-12",129478.51,2,""
263,1,1,2014-12-11,"indicadores-gerais","JPY-NY",119.36,4,""
264,1,1,2014-12-12,"indicadores-gerais","JPY-NY",118.41,4,""
265,1,1,2014-12-11,"indicadores-gerais","JPY-PA",0.02212,6,""
266,1,1,2014-12-12,"indicadores-gerais","JPY-PA",0.02245,6,""
267,1,1,2014-12-11,"indicadores-gerais","JPY-T1",0.02205,6,""
268,1,1,2014-12-12,"indicadores-gerais","JPY-T1",0.02232,6,""
269,1,1,2014-12-11,"indicadores-gerais","JPY-T2",0.02204,6,""
270,1,1,2014-12-12,"indicadores-gerais","JPY-T2",0.02231,6,""
271,1,1,2014-12-11,"indicadores-gerais","LIBOR",0.16,4,""
272,1,1,2014-12-12,"indicadores-gerais","LIBOR",0.16,4,""
273,1,1,2014-12-11,"indicadores-gerais","MIC-BR",1455,0,""
274,1,1,2014-12-12,"indicadores-gerais","MIC-BR",1460,0,""
275,1,1,2014-12-11,"indicadores-gerais","MXN-PF",14.6971,4,""
276,1,1,2014-12-12,"indicadores-gerais","MXN-PF",14.6574,4,""
277,1,1,2014-12-11,"indicadores-gerais","MXN-T1",0.1802,7,""
278,1,1,2014-12-12,"indicadores-gerais","MXN-T1",0.1796,7,""
279,1,1,2014-12-11,"indicadores-gerais","MXN-T2",0.1801,7,""
280,1,1,2014-12-12,"indicadores-gerais","MXN-T2",0.1795,7,""
281,1,1,2014-12-11,"indicadores-gerais","NIB-PA",16253.5,3,""
282,1,1,2014-12-12,"indicadores-gerais","NIB-PA",16210,3,""
283,1,1,2014-12-11,"indicadores-gerais","NIB-T1-S",16210,3,""
284,1,1,2014-12-12,"indicadores-gerais","NIB-T1-S",16608,3,""
285,1,1,2014-12-11,"indicadores-gerais","NIB-T2-S",16210,3,""
286,1,1,2014-12-12,"indicadores-gerais","NIB-T2-S",16608,3,""
287,1,1,2014-12-11,"indicadores-gerais","NZD-PF",0.7807,4,""
288,1,1,2014-12-12,"indicadores-gerais","NZD-PF",0.7778,4,""
289,1,1,2014-12-11,"indicadores-gerais","PBB-PA",2003.5,3,""
290,1,1,2014-12-12,"indicadores-gerais","PBB-PA",1970,3,""
291,1,1,2014-12-11,"indicadores-gerais","PBB-T1-S",1970,3,""
292,1,1,2014-12-12,"indicadores-gerais","PBB-T1-S",1982.5,3,""
293,1,1,2014-12-11,"indicadores-gerais","PBB-T2-S",1970,3,""
294,1,1,2014-12-12,"indicadores-gerais","PBB-T2-S",1982.5,3,""
295,1,1,2014-12-11,"indicadores-gerais","PRT",556.138,3,""
296,1,1,2014-12-12,"indicadores-gerais","PRT",556.309,3,""
297,1,1,2014-12-11,"indicadores-gerais","PRTIPCA",4026.391,3,""
298,1,1,2014-12-12,"indicadores-gerais","PRTIPCA",4027.416,3,""
299,1,1,2014-12-11,"indicadores-gerais","REU-PA",3.2629,7,""
300,1,1,2014-12-12,"indicadores-gerais","REU-PA",3.3063,7,""
301,1,1,2014-12-11,"indicadores-gerais","REU-PF",1.2387,4,""
302,1,1,2014-12-12,"indicadores-gerais","REU-PF",1.2456,4,""
303,1,1,2014-12-11,"indicadores-gerais","REU-T1",3.2566,7,""
304,1,1,2014-12-12,"indicadores-gerais","REU-T1",3.3049,7,""
305,1,1,2014-12-11,"indicadores-gerais","REU-T2",3.2548,7,""
306,1,1,2014-12-12,"indicadores-gerais","REU-T2",3.3039,7,""
307,1,1,2014-12-11,"indicadores-gerais","REU-T3",3.2649599,7,""
308,1,1,2014-12-12,"indicadores-gerais","REU-T3",3.306471,7,""
309,1,1,2014-12-11,"indicadores-gerais","SEL",11.65,2,""
310,1,1,2014-12-12,"indicadores-gerais","SEL",11.65,2,""
311,1,1,2014-12-11,"indicadores-gerais","SEL-RE",11.65,2,""
312,1,1,2014-12-12,"indicadores-gerais","SEL-RE",11.65,2,""
313,1,1,2014-12-11,"indicadores-gerais","SEL-12",11.65,2,""
314,1,1,2014-12-12,"indicadores-gerais","SEL-12",11.65,2,""
315,1,1,2014-12-11,"indicadores-gerais","SEN-BR",27602,0,""
316,1,1,2014-12-12,"indicadores-gerais","SEN-BR",27351,0,""
317,1,1,2014-12-11,"indicadores-gerais","SNB-PA",20230,3,""
318,1,1,2014-12-12,"indicadores-gerais","SNB-PA",20389,3,""
319,1,1,2014-12-11,"indicadores-gerais","SNB-T1-S",20389,3,""
320,1,1,2014-12-12,"indicadores-gerais","SNB-T1-S",20403,3,""
321,1,1,2014-12-11,"indicadores-gerais","SNB-T2-S",20389,3,""
322,1,1,2014-12-12,"indicadores-gerais","SNB-T2-S",20403,3,""
323,1,1,2014-12-11,"indicadores-gerais","SUS-MN",23.27,2,""
324,1,1,2014-12-12,"indicadores-gerais","SUS-MN",22.79,2,""
325,1,1,2014-12-11,"indicadores-gerais","SUS-MX",23.45,2,""
326,1,1,2014-12-12,"indicadores-gerais","SUS-MX",23.18,2,""
327,1,1,2014-12-11,"indicadores-gerais","SUS-PA",23.27,2,""
328,1,1,2014-12-12,"indicadores-gerais","SUS-PA",23.18,2,""
329,1,1,2014-12-11,"indicadores-gerais","SUS-PF",23.45,2,""
330,1,1,2014-12-12,"indicadores-gerais","SUS-PF",22.79,2,""
331,1,1,2014-12-11,"indicadores-gerais","SUS-PM",23.35,2,""
332,1,1,2014-12-12,"indicadores-gerais","SUS-PM",22.9,2,""
333,1,1,2014-12-11,"indicadores-gerais","TBF01",0.8961,4,""
334,1,1,2014-12-12,"indicadores-gerais","TBF01",0.8961,4,""
335,1,1,2014-12-11,"indicadores-gerais","TBF02",0.8219,4,""
336,1,1,2014-12-12,"indicadores-gerais","TBF02",0.8219,4,""
337,1,1,2014-12-11,"indicadores-gerais","TBF03",0.8756,4,""
338,1,1,2014-12-12,"indicadores-gerais","TBF03",0.8756,4,""
339,1,1,2014-12-11,"indicadores-gerais","TBF04",0.8201,4,""
340,1,1,2014-12-12,"indicadores-gerais","TBF04",0.8201,4,""
341,1,1,2014-12-11,"indicadores-gerais","TBF05",0.7938,4,""
342,1,1,2014-12-12,"indicadores-gerais","TBF05",0.7938,4,""
343,1,1,2014-12-11,"indicadores-gerais","TBF06",0.7754,4,""
344,1,1,2014-12-12,"indicadores-gerais","TBF06",0.7754,4,""
345,1,1,2014-12-11,"indicadores-gerais","TBF07",0.8164,4,""
346,1,1,2014-12-12,"indicadores-gerais","TBF07",0.8164,4,""
347,1,1,2014-12-11,"indicadores-gerais","TBF08",0.8371,4,""
348,1,1,2014-12-12,"indicadores-gerais","TBF08",0.8371,4,""
349,1,1,2014-12-11,"indicadores-gerais","TBF09",0.8666,4,""
350,1,1,2014-12-12,"indicadores-gerais","TBF09",0.8666,4,""
351,1,1,2014-12-11,"indicadores-gerais","TBF10",0.863,4,""
352,1,1,2014-12-12,"indicadores-gerais","TBF10",0.863,4,""
